hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
我,wǒ,"I; me; my","我是学生。","wǒ shì xuéshēng.","I am a student.","这是我的书。","zhè shì wǒ de shū.","This is my book."
的,de,"of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)","这是我的苹果。","zhè shì wǒ de píngguǒ.","This is my apple.","他慢慢地走了。","tā mànmàn de zǒu le.","He walked slowly."
你,nǐ,"you (informal, as opposed to courteous 您[nin2])","你好吗？","nǐ hǎo ma?","How are you?","这是你的笔吗？","zhè shì nǐ de bǐ ma?","Is this your pen?"
了,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)","他走了。","tā zǒu le.","He left / He has left.","天冷了，多穿点衣服。","tiān lěng le, duō chuān diǎn yīfu.","It's gotten cold, wear more clothes."
了,liǎo,"to finish; to achieve; variant of 瞭|了[liao3]; to understand clearly","这工作我做不了。","zhè gōngzuò wǒ zuò bù liǎo.","I can't finish this work.","他对情况了如指掌。","tā duì qíngkuàng liǎo rú zhǐzhǎng.","He understands the situation like the back of his hand."
是,shì,"is; are; am; yes; to be","他是医生。","tā shì yīshēng.","He is a doctor.","是，我明白了。","shì, wǒ míngbai le.","Yes, I understand."
啊,a,"modal particle ending sentence, showing affirmation, approval, or consent","你好啊！","nǐ hǎo a!","Hello there!","是啊，我也这么想。","shì a, wǒ yě zhème xiǎng.","Yes, I think so too."
不,bù,"(negative prefix); not; no","我不是老师。","wǒ bù shì lǎoshī.","I am not a teacher.","他不想去。","tā bù xiǎng qù.","He doesn't want to go."
在,zài,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)","我在家。","wǒ zài jiā.","I am at home.","他正在看书。","tā zhèngzài kàn shū.","He is reading a book."
就,jiù,"at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning","我马上就来。","wǒ mǎshàng jiù lái.","I'll come right away.","如果你不去，我就自己去。","rúguǒ nǐ bù qù, wǒ jiù zìjǐ qù.","If you don't go, then I'll go by myself."
好,hǎo,"good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of two people) close; on intimate terms; (after a personal pronoun) hello","这本书很好。","zhè běn shū hěn hǎo.","This book is very good.","你准备好了吗？","nǐ zhǔnbèi hǎo le ma?","Are you ready?"
他,tā,"he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another","他是我的朋友。","tā shì wǒ de péngyou.","He is my friend.","他喜欢踢足球。","tā xǐhuan tī zúqiú.","He likes to play football."
要,yào,"important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if","我要一杯水。","wǒ yào yī bēi shuǐ.","I want a glass of water.","明天要下雨了。","míngtiān yào xià yǔ le.","It's going to rain tomorrow."
有,yǒu,"to have; there is; there are; to exist; to be","我有一只猫。","wǒ yǒu yī zhī māo.","I have a cat.","桌子上有一本书。","zhuōzi shàng yǒu yī běn shū.","There is a book on the table."
说,shuō,"to speak; to say; to explain; to scold; to tell off; a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)","请你说慢一点。","qǐng nǐ shuō màn yīdiǎn.","Please speak a bit slower.","他说明了原因。","tā shuōmíng le yuányīn.","He explained the reason."
这,zhè,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)","这是什么？","zhè shì shénme?","What is this?","这本书很有趣。","zhè běn shū hěn yǒuqù.","This book is very interesting."
都,dōu,"all; both; entirely; (used for emphasis) even; already; (not) at all","我们都喜欢他。","wǒmen dōu xǐhuan tā.","We all like him.","这么晚了，你怎么还没睡？","zhème wǎn le, nǐ zěnme hái méi shuì? (Implicit use with time, emphasizing 'already')","It's so late already, why aren't you asleep yet?"
我们,wǒmen,"we; us; ourselves; our","我们是好朋友。","wǒmen shì hǎo péngyou.","We are good friends.","老师叫我们回答问题。","lǎoshī jiào wǒmen huídá wèntí.","The teacher asked us to answer the question."
什么,shénme,"what?; something; anything","你叫什么名字？","nǐ jiào shénme míngzi?","What is your name?","我没听到你说什么。","wǒ méi tīngdào nǐ shuō shénme.","I didn't hear what you said."
跟,gēn,"heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)","你跟我来。","nǐ gēn wǒ lái.","You come with me.","他跟她一起去看电影。","tā gēn tā yīqǐ qù kàn diànyǐng.","He went to watch a movie with her."
来,lái,"to come; to arrive; to come round; ever since; next","他什么时候来？","tā shénme shíhou lái?","When is he coming?","请给我来一杯咖啡。","qǐng gěi wǒ lái yī bēi kāfēi.","Please bring me a cup of coffee."
